CNTRY,admin1,admin2,emp10,emp20,pop10,pop20,rate
일본,Hokkaido,Aibetsu-cho,1653,1304,3328,2605,-21.72%
일본,Hokkaido,Kamikawa-cho,2331,1845,4532,3500,-22.77%
일본,Hokkaido,Higashikawa-cho,3965,4281,7859,8314,5.79%
일본,Hokkaido,Biei-cho,5481,5071,10956,9668,-11.76%
일본,Hokkaido,Kamifurano-cho,6201,5765,11545,10348,-10.37%
일본,Hokkaido,Nakafurano-cho,2872,2538,5477,4733,-13.58%
일본,Hokkaido,Minamifurano-cho,1436,1299,2814,2376,-15.57%
일본,Hokkaido,Shimukappu-mura,887,880,1394,1306,-6.31%
일본,Hokkaido,Wassamu-cho,2001,1696,3832,3192,-16.70%
일본,Hokkaido,Kembuchi-cho,1925,1642,3565,2926,-17.92%
일본,Hokkaido,Shimokawa-cho,1880,1586,3775,3126,-17.19%
일본,Hokkaido,Bifuka-cho,2490,2140,5178,4145,-19.95%
일본,Hokkaido,Otoineppu-mura,504,351,995,706,-29.05%
일본,Hokkaido,Nakagawa-cho,1030,869,1907,1528,-19.87%
일본,Hokkaido,Horokanai-cho,889,736,1710,1370,-19.88%
일본,Hokkaido,Mashike-cho,2487,2001,5078,3908,-23.04%
일본,Hokkaido,Obira-cho,1834,1631,3717,2994,-19.45%
일본,Hokkaido,Tomamae-cho,1881,1582,3656,2936,-19.69%
일본,Hokkaido,Haboro-cho,3903,3395,7964,6548,-17.78%
일본,Hokkaido,Shosambetsu-mura,662,595,1369,1080,-21.11%
일본,Hokkaido,Embetsu-cho,1618,1407,3084,2520,-18.29%
일본,Hokkaido,Teshio-cho,2132,1694,3780,2950,-21.96%
일본,Hokkaido,Sarufutsu-mura,1656,1588,2825,2611,-7.58%
일본,Hokkaido,Hamatombetsu-cho,2255,1906,4168,3448,-17.27%
일본,Hokkaido,Nakatombetsu-cho,911,893,1974,1637,-17.07%
일본,Hokkaido,Esashi-cho,5011,4280,9125,7565,-17.10%
일본,Hokkaido,Toyotomi-cho,2414,2299,4378,3974,-9.23%
일본,Hokkaido,Rebun-cho,1957,1656,3078,2509,-18.49%
일본,Hokkaido,Rishiri-cho,1690,1238,2590,2004,-22.63%
일본,Hokkaido,Rishirifuji-cho,1786,1459,3037,2458,-19.06%
일본,Hokkaido,Horonobe-cho,1519,1453,2677,2371,-11.43%
일본,Hokkaido,Bihoro-cho,10959,9893,21575,18697,-13.34%
일본,Hokkaido,Tsubetsu-cho,2733,2117,5646,4373,-22.55%
일본,Hokkaido,Shari-cho,7275,6009,13045,11418,-12.47%
일본,Hokkaido,Kiyosato-cho,2307,1940,4551,3883,-14.68%
일본,Hokkaido,Koshimizu-cho,2935,2552,5358,4623,-13.72%
일본,Hokkaido,Kunneppu-cho,2970,2585,5435,4677,-13.95%
일본,Hokkaido,Oketo-cho,1617,1361,3428,2775,-19.05%
일본,Hokkaido,Saroma-cho,3081,2669,5892,4875,-17.26%
일본,Hokkaido,Engaru-cho,10442,9257,22265,19241,-13.58%
일본,Hokkaido,Yubetsu-cho,5211,4509,10041,8270,-17.64%
일본,Hokkaido,Takinoue-cho,1421,1229,3028,2421,-20.05%
일본,Hokkaido,Okoppe-cho,2371,1982,4301,3628,-15.65%
일본,Hokkaido,Nishiokoppe-mura,554,566,1135,1053,-7.22%
일본,Hokkaido,Omu-cho,2840,2504,4939,4199,-14.98%
일본,Hokkaido,Ozora-cho,4176,3617,7933,6775,-14.60%
일본,Hokkaido,Toyoura-cho,2182,1878,4528,3821,-15.61%
일본,Hokkaido,Sobetsu-cho,1551,1353,3232,2743,-15.13%
일본,Hokkaido,Shiraoi-cho,8591,6906,19376,16212,-16.33%
일본,Hokkaido,Atsuma-cho,2782,2480,4890,4432,-9.37%
일본,Hokkaido,Toyako-cho,4948,4117,10132,8442,-16.68%
일본,Hokkaido,Abira-cho,4382,3918,8726,7340,-15.88%
일본,Hokkaido,Mukawa-cho,5259,4279,9746,7651,-21.50%
