CNTRY,admin1,admin2,CITYID,hlth10,hlth20,pop10,pop20,rate
일본,Hokkaido,Esashi-cho,JP01116,8,23,9125,7565,-17.10%
일본,Hokkaido,Toyotomi-cho,JP01117,3,15,4378,3974,-9.23%
일본,Hokkaido,Rebun-cho,JP01118,0,3,3078,2509,-18.49%
일본,Hokkaido,Rishiri-cho,JP01119,0,4,2590,2004,-22.63%
일본,Hokkaido,Rishirifuji-cho,JP01120,0,3,3037,2458,-19.06%
일본,Hokkaido,Horonobe-cho,JP01121,3,9,2677,2371,-11.43%
일본,Hokkaido,Bihoro-cho,JP01122,20,58,21575,18697,-13.34%
일본,Hokkaido,Tsubetsu-cho,JP01123,9,15,5646,4373,-22.55%
일본,Hokkaido,Shari-cho,JP01124,17,40,13045,11418,-12.47%
일본,Hokkaido,Kiyosato-cho,JP01125,5,6,4551,3883,-14.68%
일본,Hokkaido,Koshimizu-cho,JP01126,12,13,5358,4623,-13.72%
일본,Hokkaido,Kunneppu-cho,JP01127,1,11,5435,4677,-13.95%
일본,Hokkaido,Oketo-cho,JP01128,0,31,3428,2775,-19.05%
일본,Hokkaido,Saroma-cho,JP01129,1,12,5892,4875,-17.26%
일본,Hokkaido,Engaru-cho,JP01130,24,75,22265,19241,-13.58%
일본,Hokkaido,Yubetsu-cho,JP01131,6,35,10041,8270,-17.64%
일본,Hokkaido,Takinoue-cho,JP01132,1,7,3028,2421,-20.05%
일본,Hokkaido,Okoppe-cho,JP01133,5,5,4301,3628,-15.65%
일본,Hokkaido,Nishiokoppe-mura,JP01134,1,6,1135,1053,-7.22%
일본,Hokkaido,Omu-cho,JP01135,1,5,4939,4199,-14.98%
일본,Hokkaido,Ozora-cho,JP01136,7,12,7933,6775,-14.60%
일본,Hokkaido,Toyoura-cho,JP01137,9,19,4528,3821,-15.61%
일본,Hokkaido,Sobetsu-cho,JP01138,1,10,3232,2743,-15.13%
일본,Hokkaido,Shiraoi-cho,JP01139,14,59,19376,16212,-16.33%
일본,Hokkaido,Atsuma-cho,JP01140,0,18,4890,4432,-9.37%
